Sensor: mmc5603x Magnetometer Non-wakeup
Vendor: memsic
TimestampMag [ns]; MagX [uT]; MagY [uT]; MagZ [uT]
7387359223253;35.9267;20.4614;19.5329;
7387369223253;38.5499;20.8452;15.4911;
7387379223253;38.5436;20.6918;15.6033;
7387389223253;38.5481;20.7692;15.7879;
7387399223253;36.7987;20.6634;17.1188;
7387409223253;37.3062;21.1541;16.8831;
7387419223253;37.7808;20.9525;16.3341;
7387429223253;37.3885;20.8522;16.6272;
7387439223253;37.2128;21.1500;17.6523;
7387449223253;36.9164;21.1300;16.9757;
7387459223253;37.9936;21.3489;16.3924;
7387469223253;37.9013;21.4957;16.0868;
7387479223253;37.6103;21.5535;15.7872;
7387489223253;37.9081;21.6493;16.0708;
7387499223253;38.2912;21.6701;14.7269;
7387509223253;39.8151;22.9190;11.8811;
7387519223253;40.4007;22.9554;11.8867;
7387529223253;39.9971;22.4738;13.2785;
7387539223253;39.4081;22.3606;13.2809;
7387549223253;39.5225;22.6754;13.8275;
7387559223253;39.6106;22.5266;13.3631;
7387569223253;40.0132;22.8573;13.0461;
7387579223253;40.2070;22.9440;12.1737;
7387589223253;39.4386;23.1269;12.5274;
7387599223253;39.6352;23.2148;12.1362;
7387609223253;39.1382;23.0298;11.7625;
7387619223253;39.9235;23.3060;10.6871;
7387629223253;39.9380;23.5385;11.4333;
7387639223253;38.7620;23.3130;11.8231;
7387649223253;38.7744;23.5444;12.1843;
7387659223253;39.2614;23.5743;11.9964;
7387669223253;39.3595;23.5806;12.0936;
7387679223253;38.8686;23.4737;12.1932;
7387689223253;38.7700;23.4671;11.9997;
7387699223253;38.9739;23.7089;11.6889;
7387709223253;39.8354;23.4548;11.1516;
7387719223253;40.6167;23.6540;9.9879;
7387729223253;40.4146;23.4882;10.0020;
7387739223253;40.5104;23.4183;10.2997;
7387749223253;40.2107;23.2464;10.3129;
7387759223253;40.1160;23.3169;10.2077;
7387769223253;40.5154;23.4958;10.5805;
7387779223253;40.0340;23.5438;11.1454;
7387789223253;40.3144;23.3306;10.7871;
7387799223253;39.8433;23.6090;11.3281;
7387809223253;39.2487;23.2676;12.2208;
7387819223253;39.6388;23.3669;11.5427;
7387829223253;39.2482;23.1170;13.3918;
7387839223253;38.8657;23.0965;14.8320;
7387849223253;38.4566;22.6874;14.5794;
7387859223253;39.1451;22.8828;14.2812;
7387869223253;38.9628;23.1023;14.7367;
7387879223253;38.8364;22.4060;15.1925;
7387889223253;39.4265;22.6701;14.1153;
7387899223253;39.3229;22.4356;14.9084;
7387909223253;39.2355;22.6600;14.8835;
7387919223253;37.9794;22.5871;17.1817;
7387929223253;37.4920;22.5570;17.2733;
7387939223253;38.2749;22.7569;16.3985;
7387949223253;38.3603;22.4565;16.7201;
7387959223253;35.2725;22.5798;20.6052;
7387969223253;38.2706;22.6046;16.8957;
7387979223253;37.4136;22.9360;17.6176;
7387989223253;37.3965;22.5519;17.6575;
7387999223253;37.7658;22.1151;17.6127;
7388009223253;37.5940;22.6404;17.4588;
7388019223253;37.9715;22.4330;17.0051;
7388029223253;37.9552;22.1245;16.5557;
7388039223253;39.3300;22.5142;15.5742;
7388049223253;40.2107;22.7955;14.1148;
7388059223253;40.6832;22.5929;13.1807;
7388069223253;41.6946;23.3235;16.5744;
7388079223253;41.6919;23.3222;16.0930;
7388089223253;41.4996;23.3866;15.9870;
7388099223253;41.4785;22.9255;15.9385;
7388109223253;42.2686;23.3543;14.4622;
7388119223253;41.8697;23.1757;14.1857;
7388129223253;42.1696;23.4228;13.5870;
