Sensor: bmi160 Gyroscope Non-wakeup
Vendor: BOSCH
TimestampGyro [ns]; GyroX [rad/s]; GyroY [rad/s]; GyroZ [rad/s]
83891066188049;0.0107;-0.2559;-0.0013;
83891076293778;-0.0639;-0.0281;-0.0099;
83891086399507;-0.1108;0.1125;-0.0120;
83891096504455;0.0628;0.0348;-0.0589;
83891106610236;0.1023;0.2063;-0.0535;
83891116715965;0.0586;0.4289;-0.0567;
83891126835549;0.2162;0.2521;-0.0525;
83891136941278;0.3515;-0.0036;-0.0141;
83891147047007;0.3728;-0.0206;-0.0226;
83891157155497;0.1896;0.0294;-0.0525;
83891167261226;0.0511;0.0316;-0.0557;
83891177366955;0.1214;0.0827;-0.0578;
83891187459351;0.1417;-0.0164;-0.0173;
83891197565080;0.1278;-0.1643;0.0157;
83891207670861;0.1257;0.0252;0.0178;
83891217827840;0.0884;0.1690;0.0029;
83891227933518;0.0660;0.0763;-0.0067;
83891238039247;0.1342;0.0688;-0.0471;
83891248076434;0.1385;0.2084;-0.0344;
83891258182163;0.2312;0.3064;-0.0599;
83891268287945;0.3270;0.1146;-0.1111;
83891278427007;0.4132;-0.2676;-0.1217;
83891288532684;0.2716;-0.3028;-0.0983;
83891298638465;0.0937;-0.0196;-0.1270;
83891308742215;0.1694;-0.0004;-0.1441;
83891318847893;0.2386;-0.2740;-0.1206;
83891328953622;0.1694;-0.5094;-0.0375;
83891339051903;0.1694;-0.6584;0.0317;
83891349157632;0.1609;-0.6074;0.0732;
83891359263361;0.0788;-0.1132;0.0541;
83891369374247;0.0724;0.2840;-0.0056;
83891379479976;0.0373;0.1381;-0.0397;
83891389585757;0.1374;-0.0302;-0.0663;
83891399677736;0.2258;-0.1356;-0.1089;
83891409783465;0.1427;-0.5339;-0.0983;
83891419889195;0.0842;-0.7138;-0.1281;
83891429999715;-0.0937;-0.2868;-0.1079;
83891440105445;-0.1960;0.2659;-0.1174;
83891450211174;-0.0277;0.3106;-0.1473;
83891460318934;0.2035;-0.0100;-0.1515;
83891470424611;0.2045;-0.0951;-0.0961;
83891480530340;0.1939;0.0486;-0.1089;
83891490636070;0.3324;0.3000;-0.0205;
83891500739090;0.6316;0.7334;0.0370;
83891510844820;0.7977;0.6855;0.0690;
83891520950549;0.6529;-0.0015;0.1541;
83891531081851;0.4888;-0.1121;0.2297;
83891541187632;0.3196;0.3469;0.2723;
83891551293361;0.1289;0.1881;0.2734;
83891561372632;0.2514;-0.1004;0.1903;
83891571478361;0.5378;0.1892;0.1988;
83891581584090;0.6166;0.3320;0.1892;
83891591694507;0.3972;0.1200;0.2723;
83891601800236;0.2897;-0.0430;0.3543;
83891611906410;0.1864;0.0838;0.3043;
83891622002296;0.1587;0.1562;0.2915;
83891632108025;0.0575;0.0230;0.3746;
83891642213754;-0.0714;-0.0281;0.3937;
83891652322192;-0.0320;0.0720;0.3660;
83891662427921;-0.0405;-0.0036;0.3714;
83891672533702;-0.1545;-0.0610;0.4555;
83891682640056;-0.2310;0.0337;0.5130;
83891692745733;-0.3663;-0.0345;0.4896;
83891702851515;-0.4750;-0.0377;0.3682;
83891712944119;-0.5815;-0.0292;0.2936;
83891723049848;-0.6497;-0.0940;0.2521;
83891733155577;-0.6337;-0.0631;0.2585;
83891743294379;-0.5644;0.1413;0.2297;
83891753400160;-0.4877;0.1434;0.2222;
83891763505890;-0.4909;0.0752;0.1860;
83891773599223;-0.6220;-0.1664;0.1381;
83891783704900;-0.6422;-0.1760;0.1093;
83891793810681;-0.3738;0.2979;0.1115;
83891803908390;-0.3418;0.2031;0.0360;
83891814014067;-0.2853;-0.0748;0.0210;
